size,context,mode,precision,mean_ms,peak_mib,snapshot
medium,128,forward,bf16,70.7054,2425.12,memory_snapshots/medium_ctx128_forward_bf16_memory_snapshot.pickle
medium,128,forward,none,96.3942,1684.36,memory_snapshots/medium_ctx128_forward_none_memory_snapshot.pickle
medium,128,train_step,bf16,1676.7087,6763.85,memory_snapshots/medium_ctx128_train_step_bf16_memory_snapshot.pickle
medium,128,train_step,none,1865.2824,6701.05,memory_snapshots/medium_ctx128_train_step_none_memory_snapshot.pickle
medium,256,forward,bf16,107.2384,2438.39,memory_snapshots/medium_ctx256_forward_bf16_memory_snapshot.pickle
medium,256,forward,none,201.3611,1742.22,memory_snapshots/medium_ctx256_forward_none_memory_snapshot.pickle
medium,256,train_step,bf16,8709.5611,8141.92,memory_snapshots/medium_ctx256_train_step_bf16_memory_snapshot.pickle
medium,256,train_step,none,15325.9216,8690.82,memory_snapshots/medium_ctx256_train_step_none_memory_snapshot.pickle
medium,512,forward,bf16,237.0053,2594.84,memory_snapshots/medium_ctx512_forward_bf16_memory_snapshot.pickle
medium,512,forward,none,493.8059,1920.84,memory_snapshots/medium_ctx512_forward_none_memory_snapshot.pickle
medium,512,train_step,bf16,26003.8646,11805.28,memory_snapshots/medium_ctx512_train_step_bf16_memory_snapshot.pickle
medium,512,train_step,none,41826.8574,14055.41,memory_snapshots/medium_ctx512_train_step_none_memory_snapshot.pickle
small,128,forward,bf16,27.4174,771.65,memory_snapshots/small_ctx128_forward_bf16_memory_snapshot.pickle
small,128,forward,none,71.3661,560.24,memory_snapshots/small_ctx128_forward_none_memory_snapshot.pickle
small,128,train_step,bf16,134.5523,2235.94,memory_snapshots/small_ctx128_train_step_bf16_memory_snapshot.pickle
small,128,train_step,none,175.7676,2241.34,memory_snapshots/small_ctx128_train_step_none_memory_snapshot.pickle
small,256,forward,bf16,39.0058,785.14,memory_snapshots/small_ctx256_forward_bf16_memory_snapshot.pickle
small,256,forward,none,61.8275,618.1,memory_snapshots/small_ctx256_forward_none_memory_snapshot.pickle
small,256,train_step,bf16,187.8205,2795.8,memory_snapshots/small_ctx256_train_step_bf16_memory_snapshot.pickle
small,256,train_step,none,263.878,3081.34,memory_snapshots/small_ctx256_train_step_none_memory_snapshot.pickle
small,512,forward,bf16,83.2338,903.19,memory_snapshots/small_ctx512_forward_bf16_memory_snapshot.pickle
small,512,forward,none,134.4015,734.48,memory_snapshots/small_ctx512_forward_none_memory_snapshot.pickle
small,512,train_step,bf16,325.2126,4208.93,memory_snapshots/small_ctx512_train_step_bf16_memory_snapshot.pickle
small,512,train_step,none,530.2305,5148.4,memory_snapshots/small_ctx512_train_step_none_memory_snapshot.pickle
